d       s       a       m_i
2	1	3	1
3	2	7	1 1
4	3	11	1 3 7
5	3	13	1 1 5
6	4	19	1 3 1 1
7	4	25	1 1 3 7
8	5	37	1 3 3 9 9
9	5	59	1 3 7 13 3
10	5	47	1 1 5 11 27
11	5	61	1 3 5 1 15
12	5	55	1 1 7 3 29
13	5	41	1 3 7 7 21
14	6	67	1 1 1 9 23 37
15	6	97	1 3 3 5 19 33
16	6	91	1 1 3 13 11 7
17	6	109	1 1 7 13 25 5
18	6	103	1 3 5 11 7 11
19	6	115	1 1 1 3 13 39
20	7	131	1 3 1 15 17 63 13
21	7	193	1 1 5 5 1 59 33
22	7	137	1 3 3 3 25 17 115
23	7	145	1 1 7 15 29 15 41
24	7	143	1 3 1 7 3 23 79
25	7	241	1 3 7 9 31 29 17
26	7	157	1 1 5 13 11 3 29
27	7	185	1 1 1 9 5 21 119
28	7	167	1 1 3 1 23 13 75
29	7	229	1 3 7 11 27 31 73
30	7	171	1 1 7 7 19 25 105
31	7	213	1 3 1 5 21 9 7
32	7	191	1 1 1 15 5 49 59
33	7	253	1 3 1 1 1 33 65
34	7	203	1 3 5 15 17 19 21
35	7	211	1 1 7 11 13 29 3
36	7	239	1 3 7 5 7 11 113
37	7	247	1 1 5 11 15 19 61
38	8	285	1 1 1 1 9 27 89 7
39	8	369	1 1 3 7 31 15 45 23
40	8	299	1 3 3 9 25 25 107 39
41	8	301	1 1 7 7 3 63 21 217
